Epeak p_NT gamma logU dens met OH CII_1335 CIV_1551 HeII_1640 CIII_1909 Hbeta OIII_5007 Halpha NII_6583 CI_9850 SIII_9531 HeI_10830 PaGamma PII_1188 FeII_1257 PaBeta FeII_132 FeII_164 PaAlpha
-1.0 0.4 2.0 -2.0 2.0 0.01 8.369 13.155 353.709 356.296 448.074 100.0 1068.806 294.28 25.129 10.021 64.8 15.643 7.275 1.178 6.46 13.754 1.709 5.464 26.623
-1.0 0.1 2.0 -1.0 2.0 0.01 8.369 5.317 490.881 586.105 230.874 100.0 480.502 292.16 9.264 7.598 21.083 6.633 6.28 0.477 2.706 12.703 0.716 2.289 23.957
-1.0 0.25 2.0 -1.0 2.0 0.01 8.369 5.071 386.567 475.132 191.84 100.0 388.041 297.763 17.55 33.08 35.936 7.621 6.169 1.117 6.338 12.675 1.677 5.361 24.164
-1.0 0.4 2.0 -1.0 2.0 0.01 8.369 4.821 289.865 377.658 153.843 100.0 302.949 303.046 25.442 56.174 53.653 8.369 6.022 1.725 9.872 12.583 2.612 8.35 24.153
-1.7 0.1 2.0 -4.0 2.0 0.014 8.515 18.463 0.005 38.235 12.029 100.0 27.542 281.111 150.261 12.608 40.817 31.477 8.827 2.784 9.088 15.674 2.404 7.687 30.922
-1.7 0.25 2.0 -4.0 2.0 0.014 8.515 19.324 0.006 44.727 12.895 100.0 28.671 281.777 152.221 13.164 43.124 31.633 8.8 2.891 9.753 15.639 2.58 8.249 30.871
-1.7 0.4 2.0 -4.0 2.0 0.014 8.515 19.836 0.008 52.577 13.895 100.0 29.688 282.831 153.597 13.879 46.73 31.817 8.757 3.048 10.827 15.588 2.864 9.158 30.799
-1.7 0.1 2.0 -3.5 2.0 0.014 8.515 22.177 0.131 54.716 30.855 100.0 597.267 279.921 78.587 0.668 73.521 29.981 8.768 1.484 2.171 15.575 1.251 1.836 30.557
-1.7 0.25 2.0 -3.5 2.0 0.014 8.515 23.34 0.157 64.544 34.209 100.0 652.478 280.647 80.148 0.707 77.311 29.763 8.71 1.636 3.358 15.522 1.461 2.84 30.382
-1.7 0.4 2.0 -3.5 2.0 0.014 8.515 23.384 0.192 76.189 38.411 100.0 714.407 281.523 82.852 0.782 84.104 29.475 8.633 1.883 5.208 15.443 1.849 4.405 30.148
-1.7 0.1 2.0 -3.0 2.0 0.014 8.515 25.155 1.86 63.182 52.857 100.0 207.166 280.348 134.547 3.215 100.353 29.066 8.783 2.179 4.73 15.529 0.574 4.001 30.671
-1.7 0.25 2.0 -3.0 2.0 0.014 8.515 25.364 2.234 76.224 63.218 100.0 220.771 281.23 136.271 3.344 107.766 28.633 8.745 2.281 5.525 15.439 0.888 4.673 30.595
-1.7 0.4 2.0 -3.0 2.0 0.014 8.515 24.827 2.783 91.72 77.331 100.0 235.392 282.387 138.192 3.545 119.089 28.071 8.686 2.474 6.989 15.325 1.378 5.911 30.459
-1.7 0.1 2.0 -2.0 2.0 0.014 8.515 24.229 31.284 87.834 112.69 100.0 1212.924 278.122 17.987 0.038 89.209 28.754 8.669 0.459 0.938 15.329 0.248 0.793 29.992
-1.7 0.25 2.0 -2.0 2.0 0.014 8.515 23.042 47.906 108.96 151.297 100.0 1359.962 278.674 20.991 0.077 95.571 27.938 8.573 0.725 2.58 15.175 0.683 2.182 29.672
-1.7 0.4 2.0 -2.0 2.0 0.014 8.515 21.541 74.86 133.543 203.792 100.0 1498.15 279.827 26.315 0.484 101.737 26.786 8.451 1.041 4.531 14.991 1.199 3.832 29.295
-1.7 0.1 2.0 -1.0 2.0 0.014 8.515 12.997 198.343 225.714 142.831 100.0 1736.164 275.839 8.482 1.641 42.859 27.228 8.382 0.398 1.82 14.808 0.481 1.539 28.639
-1.7 0.25 2.0 -1.0 2.0 0.014 8.515 11.322 330.674 268.327 196.71 100.0 1784.02 278.924 17.614 26.438 53.106 24.204 8.156 1.087 5.692 14.494 1.506 4.814 28.089
-1.7 0.4 2.0 -1.0 2.0 0.014 8.515 9.574 442.811 296.512 246.315 100.0 1599.275 284.461 30.757 59.553 66.678 20.62 7.863 1.827 9.937 14.163 2.629 8.404 27.558
-1.0 0.1 2.0 -4.0 2.0 0.014 8.515 17.603 0.021 156.753 25.237 100.0 33.308 293.948 181.456 31.401 88.562 33.152 8.199 4.497 20.768 14.908 5.494 17.565 29.334
-1.0 0.25 2.0 -4.0 2.0 0.014 8.515 17.369 0.02 153.099 24.424 100.0 30.992 294.595 178.046 31.95 95.656 33.04 8.177 4.583 21.741 14.881 5.751 18.388 29.318
-1.0 0.4 2.0 -4.0 2.0 0.014 8.515 16.97 0.02 147.649 23.269 100.0 27.921 295.481 172.971 32.672 105.046 32.803 8.146 4.703 23.08 14.844 6.106 19.521 29.302
-1.0 0.1 2.0 -3.5 2.0 0.014 8.515 22.064 0.771 228.842 89.691 100.0 1225.353 290.413 105.343 1.828 133.163 26.656 7.98 1.843 7.532 14.723 3.457 6.37 28.268
-1.0 0.25 2.0 -3.5 2.0 0.014 8.515 21.764 0.742 222.153 86.715 100.0 1170.32 291.878 107.38 1.991 140.484 26.555 7.93 2.054 9.311 14.685 3.819 7.875 28.217
