alpha logU dens met OH CII_1335 CIV_1551 HeII_1640 CIII_1909 Hbeta OIII_5007 Halpha NII_6583 CI_9850 SIII_9531 HeI_10830 PaGamma PII_1188 FeII_1257 PaBeta FeII_132 FeII_164 PaAlpha
-1.4 -1.0 3.0 0.008 8.272 7.07 521.676 510.212 202.357 100.0 971.944 281.584 5.455 2.883 22.059 31.874 7.376 0.484 1.848 13.577 0.489 1.563 25.827
-1.4 -4.0 3.0 0.01 8.369 18.905 0.016 102.787 19.474 100.0 31.489 289.161 103.779 13.195 48.274 49.44 8.412 3.735 10.103 15.151 2.673 8.545 29.829
-1.4 -3.5 3.0 0.01 8.369 22.395 0.531 151.334 68.579 100.0 299.538 287.978 97.393 3.338 83.66 47.993 8.299 2.818 6.32 14.953 1.672 5.346 29.292
-1.4 -3.0 3.0 0.01 8.369 23.987 9.903 189.188 182.638 100.0 926.661 285.901 57.849 0.706 115.48 48.189 8.213 1.852 3.836 14.778 1.015 3.244 28.805
-1.4 -2.0 3.0 0.01 8.369 17.802 233.841 273.598 361.8 100.0 1499.64 280.757 15.023 0.051 73.955 47.608 8.079 0.62 1.74 14.476 0.46 1.472 27.953
-1.4 -1.0 3.0 0.01 8.369 7.106 557.7 537.856 230.94 100.0 1053.411 281.669 8.457 4.956 27.815 29.582 7.41 0.612 2.358 13.621 0.624 1.994 25.932
-1.4 -4.0 3.0 0.014 8.515 20.35 0.017 103.475 22.183 100.0 39.578 287.432 175.097 17.987 63.308 49.181 8.504 4.956 13.439 15.263 3.555 11.366 30.083
-1.4 -3.5 3.0 0.014 8.515 24.039 0.527 152.604 72.686 100.0 363.989 286.014 163.453 4.569 108.953 47.404 8.42 3.728 8.381 15.096 2.217 7.089 29.614
-1.4 -3.0 3.0 0.014 8.515 25.64 9.157 192.468 182.233 100.0 1114.013 283.747 97.947 0.984 149.606 47.172 8.365 2.438 5.053 14.958 1.337 4.274 29.208
-1.4 -2.0 3.0 0.014 8.515 19.189 237.753 291.05 378.787 100.0 1797.402 279.426 26.388 0.092 98.105 45.3 8.219 0.825 2.327 14.643 0.616 1.968 28.331
-1.4 -1.0 3.0 0.014 8.515 7.457 608.972 576.702 278.246 100.0 1179.38 281.75 16.729 9.761 39.169 26.36 7.473 0.852 3.355 13.698 0.888 2.838 26.124
-1.4 -4.0 3.0 0.02 8.67 22.012 0.017 114.61 23.834 100.0 50.729 285.146 306.23 24.912 80.969 61.142 8.617 6.553 17.54 15.401 4.64 14.835 30.385
-1.4 -3.5 3.0 0.02 8.67 26.31 0.507 165.571 74.185 100.0 448.76 283.648 283.291 6.346 140.165 60.074 8.559 4.947 10.775 15.267 2.851 9.114 29.993
-1.4 -3.0 3.0 0.02 8.67 28.312 8.318 206.536 176.346 100.0 1346.024 281.473 169.196 1.387 191.899 60.311 8.526 3.251 6.358 15.162 1.682 5.378 29.667
-1.4 -2.0 3.0 0.02 8.67 22.258 254.779 324.716 406.568 100.0 2231.495 278.197 46.545 0.158 132.151 57.777 8.367 1.126 2.965 14.845 0.784 2.508 28.794
-1.4 -1.0 3.0 0.02 8.67 9.062 775.968 695.372 366.142 100.0 1648.306 280.689 32.036 15.85 57.773 35.375 7.607 1.234 4.763 13.845 1.26 4.029 26.472
-1.4 -4.0 3.0 0.04 8.971 23.52 0.012 113.539 14.967 100.0 55.622 282.344 800.181 39.951 116.873 57.698 8.879 10.499 30.343 15.8 8.027 25.664 31.348
-1.4 -3.5 3.0 0.04 8.971 29.3 0.334 164.774 39.4 100.0 463.887 281.411 733.409 10.497 196.183 54.628 8.839 7.792 18.524 15.702 4.9 15.668 31.04
-1.4 -3.0 3.0 0.04 8.971 33.893 4.565 209.759 87.826 100.0 1419.036 279.899 450.776 2.471 268.846 53.022 8.809 5.088 10.489 15.619 2.775 8.871 30.764
-1.4 -2.0 3.0 0.04 8.971 29.552 204.679 370.778 336.522 100.0 2733.77 277.133 144.173 0.562 213.773 49.418 8.599 1.872 5.185 15.202 1.372 4.385 29.621
-1.4 -1.0 3.0 0.04 8.971 12.383 876.737 773.956 463.842 100.0 2033.053 280.144 132.152 38.706 111.58 28.869 7.818 2.127 9.001 14.104 2.381 7.613 27.138
-1.4 -4.0 3.0 0.06 9.147 25.341 0.01 110.63 7.312 100.0 48.437 282.449 1234.479 46.207 128.513 54.319 9.033 12.783 39.89 16.09 10.553 33.739 32.087
-1.4 -3.5 3.0 0.06 9.147 33.223 0.306 161.421 18.471 100.0 399.336 281.678 1142.47 12.534 214.412 50.676 8.994 9.467 24.689 15.999 6.531 20.882 31.794
-1.4 -3.0 3.0 0.06 9.147 40.747 3.614 209.054 42.598 100.0 1274.842 280.442 720.869 3.144 299.707 48.585 8.96 6.249 13.64 15.914 3.608 11.537 31.511
